FIPS,T2,Q2,U10,V10,SWDOWN,GLW
1001,297.83,0.01245,-3.84,-2.53,188.36,413.57
1003,301.82,0.01636,-4.05,-1.01,470.73,425.73
1005,299.36,0.01328,-4.5,-3.78,341.75,429.57
1007,299.53,0.01245,-4.28,-1.09,424.08,413.6
1009,300.65,0.01227,-3.67,1.21,810.24,393.06
1011,299.8,0.01339,-4.45,-2.84,449.05,425.14
1013,301.09,0.0144,-3.54,-2.53,766.68,404.56
1015,298.28,0.01195,-3.74,-0.75,427.5,401.57
1017,298.14,0.01211,-4.2,-2.2,516.44,404.33
1019,300.33,0.01122,-3.96,0.57,595.99,397.3
1021,297.79,0.01245,-3.68,-1.67,284.09,409.08
1023,297.88,0.01354,-2.71,-2.47,354.67,412.73
1025,299.92,0.01466,-3.04,-2.57,555.14,412.53
1027,297.36,0.01204,-3.89,-1.28,451.54,398.8
1029,296.67,0.01183,-3.86,-1.3,265.61,399.45
1031,300.81,0.01463,-2.92,-2.45,284.82,437.63
1033,303.06,0.01133,-1.61,1.57,718.26,406.39
1035,301.6,0.01535,-3.58,-1.77,705.33,417.08
1037,297.42,0.0124,-3.29,-1.47,278.92,409.62
1039,301.23,0.01495,-2.87,-2.05,627.11,423.07
1041,301.48,0.01432,-3.57,-2.47,731.44,413.84
1043,301.21,0.01228,-3.1,1.17,794.66,398.46
1045,300.59,0.01418,-3.81,-3.52,327.17,433.62
1047,298.26,0.01267,-3.68,-2.45,225.63,415.77
1049,300.33,0.01131,-3.57,0.81,823.81,385.4
1051,298.25,0.01265,-3.18,-1.93,260.79,413.14
1053,302.22,0.01567,-4.05,-1.61,793.5,412.26
1055,300.14,0.01175,-4.25,0.44,618.89,398.51
1057,300.82,0.01246,-3.43,1.02,573.4,413.23
1059,302.76,0.01144,-1.86,1.91,796.33,400.07
1061,300.69,0.01492,-2.76,-2.46,222.71,440.73
1063,300.55,0.01276,-3.62,-0.32,360.89,420.12
1065,299.34,0.01274,-3.94,-0.75,228.47,419.18
1067,300.2,0.01368,-3.8,-4.47,448.55,421.2
1069,300.41,0.01439,-3.69,-4.06,308.16,433.89
1071,301.39,0.01136,-2.66,0.42,804.69,391.43
1073,300.06,0.01204,-3.74,0.73,677.2,400.15
1075,301.53,0.01256,-3.19,1.57,580.21,415.1
1077,302.54,0.01166,-1.54,1.85,668.24,406.69
1079,302.09,0.01216,-2.79,2.07,772.71,400.66
1081,298.04,0.01246,-3.93,-2.39,341.15,411.24
1083,302.08,0.01167,-2.44,2.26,763.95,398.76
1085,299.52,0.01291,-3.99,-2.92,427.5,415.72
1087,298.98,0.01286,-3.8,-2.3,379.63,413.42
1089,301.81,0.01152,-3.03,1.89,804.59,394.67
1091,297.54,0.01297,-3.05,-1.87,177.87,415.46
1093,301.66,0.01229,-2.35,2.12,588.24,414.23
1095,301.07,0.01146,-4.2,0.9,812.35,391.39
1097,301.63,0.01659,-4.26,-0.98,343.54,428.11
1099,301.19,0.01514,-3.25,-2.26,684.57,414.33
1101,300.37,0.01299,-4.3,-3.12,687.4,405.05
1103,301.7,0.01208,-3.27,1.71,812.9,395.08
1105,297.96,0.01257,-4.05,-1.43,191.7,414.5
1107,301.0,0.01291,-3.71,0.18,678.03,407.73
