FIPS,T2,Q2,U10,V10,SWDOWN,GLW
5051,307.17,0.00897,-1.08,-1.95,1003.34,379.07
5053,308.22,0.00973,-1.28,-2.35,996.34,391.39
5055,306.3,0.01155,0.61,-2.36,979.79,392.59
5057,309.4,0.00846,-1.33,-2.65,1010.09,387.99
5059,308.02,0.00908,-0.92,-2.54,1003.31,383.78
5061,308.84,0.00827,-1.37,-2.48,1011.19,382.07
5063,306.57,0.01114,-0.05,-1.54,982.37,391.32
5065,306.58,0.01012,0.48,-1.64,982.84,386.41
5067,306.42,0.0111,-0.17,-1.81,987.07,389.77
5069,307.65,0.01009,-0.8,-3.45,998.8,390.16
5071,306.66,0.00821,-1.01,-0.86,997.06,375.47
5073,308.67,0.00972,-1.11,-1.87,1006.89,394.74
5075,306.62,0.01158,-0.14,-1.48,980.49,394.68
5077,307.14,0.01038,0.08,-3.65,992.09,390.63
5079,307.66,0.01041,-1.08,-3.01,994.97,395.07
5081,310.17,0.0082,-1.37,-2.54,1011.43,390.29
5083,307.71,0.0085,-1.3,-0.86,997.76,381.57
5085,307.32,0.01026,-1.12,-2.55,994.08,391.33
5087,305.59,0.00819,-0.92,-0.83,996.01,370.26
5089,306.03,0.00969,-0.07,-1.1,853.05,393.61
5091,309.65,0.00857,-1.4,-2.41,1011.83,391.82
5093,307.06,0.01024,0.76,-3.6,983.83,389.16
5095,306.95,0.01035,-0.51,-3.59,996.86,386.59
5097,306.94,0.00883,-1.31,-1.76,1006.11,376.03
5099,308.76,0.00937,-1.47,-2.1,1004.84,391.84
5101,304.83,0.00898,-0.69,-1.23,994.19,369.3
5103,308.68,0.00975,-0.93,-2.25,1000.43,395.49
5105,307.2,0.00952,-0.62,-1.51,994.93,384.17
5107,307.35,0.01064,0.22,-3.92,991.0,394.57
5109,308.18,0.00892,-1.11,-2.26,1007.49,382.71
5111,306.79,0.01067,0.39,-2.98,984.5,391.66
5113,307.03,0.00856,-1.32,-1.54,1008.1,375.79
5115,306.72,0.00893,-0.73,-1.27,994.03,379.03
5117,307.5,0.01016,-0.93,-2.74,992.98,391.61
5119,307.66,0.01011,-0.82,-1.85,990.83,393.83
5121,306.83,0.01036,0.28,-2.06,982.77,386.74
5123,306.95,0.01053,0.03,-3.52,989.85,390.98
5125,307.15,0.01,-0.58,-1.91,994.19,388.0
5127,307.36,0.00868,-1.32,-1.11,1002.54,378.8
5129,305.34,0.00931,-0.17,-1.71,975.11,374.94
