FIPS,T2
1001,93.45
1003,92.61
1005,94.23
1007,91.29
1009,88.74
1011,92.8
1013,92.52
1015,89.42
1017,91.04
1019,89.8
1021,91.65
1023,92.98
1025,93.22
1027,88.93
1029,88.11
1031,94.44
1033,90.57
1035,92.59
1037,90.57
1039,93.7
1041,93.15
1043,89.02
1045,94.82
1047,93.78
1049,87.1
1051,92.97
1053,93.7
1055,89.06
1057,91.26
1059,90.0
1061,94.84
1063,93.92
1065,92.86
1067,94.8
1069,94.53
1071,87.96
1073,89.8
1075,92.1
1077,89.76
1079,89.04
1081,91.81
1083,89.49
1085,94.26
1087,93.58
1089,88.93
1091,93.69
1093,90.9
1095,88.7
1097,92.75
1099,92.7
1101,94.42
1103,89.06
1105,92.26
1107,92.91
1109,93.42
1111,89.82
1113,94.23
1115,89.73
1117,90.45
1119,93.78
1121,90.57
1123,91.33
1125,91.8
1127,91.0
1129,93.58
1131,93.58
1133,90.05
4001,89.64
4003,98.17
4005,94.14
4007,95.68
4009,96.93
4011,90.99
4012,116.02
4013,112.48
4015,105.19
4017,93.29
4019,107.42
4021,108.55
4023,98.91
4025,98.74
4027,115.79
5001,97.25
5003,98.62
5005,93.65
5007,99.79
5009,95.11
5011,99.18
5013,99.43
5015,96.44
5017,98.6
5019,100.63
5021,94.57
5023,95.92
5025,99.39
5027,103.23
5029,97.92
5031,95.22
5033,101.08
5035,95.81
5037,95.54
5039,99.93
5041,98.83
5043,97.66
5045,98.38
5047,100.6
5049,95.02
5051,97.45
5053,99.91
5055,94.89
5057,104.9
5059,99.32
5061,103.62
5063,96.82
5065,95.29
5067,96.37
5069,98.37
5071,96.89
5073,105.35
5075,95.5
5077,95.86
5079,97.9
5081,107.22
5083,99.14
5085,97.3
5087,95.22
5089,94.75
5091,106.75
5093,95.32
5095,96.53
5097,96.26
5099,103.26
5101,93.0
5103,101.32
5105,97.56
5107,96.4
5109,101.1
5111,95.47
5113,99.45
5115,96.69
5117,97.5
5119,98.69
5121,94.95
5123,95.7
5125,97.41
5127,97.5
5129,93.54
5131,100.31
5133,105.53
5135,95.22
5137,93.4
5139,102.16
5141,93.76
5143,99.18
5145,97.61
5147,96.98
5149,98.49
6001,87.85
6003,83.03
6005,99.1
6007,107.42
6009,100.35
6011,111.43
6013,94.73
6015,76.46
6017,92.88
6019,98.02
6021,109.65
6023,79.09
6025,117.88
6027,102.15
6029,103.32
6031,111.78
6033,100.74
6035,91.92
6037,94.03
6039,98.53
6041,76.68
6043,95.09
6045,87.08
6047,107.98
6049,91.62
6051,84.56
6053,93.58
6055,101.19
6057,94.17
6059,88.18
6061,94.69
6063,91.24
6065,110.77
6067,108.34
6069,96.67
6071,109.58
6073,95.45
6075,65.86
6077,107.85
6079,97.16
6081,75.49
6083,85.96
6085,95.23
6087,85.82
6089,100.65
6091,89.55
6093,89.96
6095,102.78
6097,92.23
6099,108.88
6101,113.49
6103,105.03
6105,92.12
6107,94.14
6109,87.24
6111,89.47
6113,108.72
6115,108.09
8001,99.41
8003,85.89
8005,97.99
8007,81.5
8009,102.45
8011,101.17
8013,84.72
8014,98.58
8015,74.23
8017,96.4
8019,68.79
8021,80.29
8023,82.72
8025,100.09
8027,80.46
8029,86.94
8031,96.96
8033,80.42
8035,89.33
8037,75.24
8039,94.53
8041,89.6
8043,87.17
8045,82.13
8047,74.73
8049,75.18
8051,73.81
8053,67.44
8055,88.63
8057,77.61
8059,86.32
8061,99.52
8063,97.18
8065,66.13
8067,81.7
8069,81.28
8071,93.54
8073,96.76
8075,95.81
8077,87.78
8079,68.74
