FIPS,T2
1001,89.53
1003,87.64
1005,89.69
1007,90.23
1009,88.41
1011,89.06
1013,88.09
1015,84.63
1017,86.31
1019,85.59
1021,89.35
1023,90.41
1025,89.38
1027,84.33
1029,84.61
1031,90.36
1033,91.18
1035,88.88
1037,88.12
1039,90.46
1041,87.84
1043,89.13
1045,90.36
1047,90.5
1049,83.46
1051,89.15
1053,89.91
1055,86.59
1057,91.56
1059,90.27
1061,91.26
1063,91.78
1065,91.9
1067,90.77
1069,91.09
1071,83.62
1073,90.0
1075,92.37
1077,90.21
1079,90.09
1081,87.58
1083,86.18
1085,89.78
1087,89.38
1089,83.7
1091,90.73
1093,90.9
1095,85.21
1097,87.93
1099,88.41
1101,90.27
1103,87.49
1105,90.72
1107,91.94
1109,88.36
1111,84.06
1113,89.08
1115,88.39
1117,89.51
1119,91.51
1121,87.91
1123,86.2
1125,91.6
1127,91.15
1129,89.15
1131,90.0
1133,90.03
4001,89.2
4003,89.91
4005,92.66
4007,93.56
4009,92.07
4011,88.5
4012,108.55
4013,107.13
4015,101.7
4017,92.03
4019,102.02
4021,103.98
4023,90.27
4025,96.06
4027,110.48
5001,91.4
5003,89.96
5005,89.64
5007,90.64
5009,88.34
5011,90.23
5013,91.27
5015,88.48
5017,91.15
5019,91.76
5021,90.45
5023,88.81
5025,90.75
5027,91.63
5029,92.05
5031,91.24
5033,91.62
5035,92.35
5037,92.97
5039,91.44
5041,92.25
5043,91.42
5045,92.3
5047,91.87
5049,89.24
5051,90.88
5053,91.63
5055,90.3
5057,92.95
5059,91.83
5061,92.61
5063,89.31
5065,89.06
5067,91.44
5069,91.04
5071,89.85
5073,92.59
5075,89.56
5077,91.96
5079,91.11
5081,93.29
5083,92.41
5085,92.73
5087,86.9
5089,89.38
5091,92.91
5093,91.89
5095,92.14
5097,89.82
5099,92.5
5101,85.87
5103,91.69
5105,90.97
5107,92.39
5109,91.42
5111,92.14
5113,89.71
5115,90.1
5117,92.75
5119,91.56
5121,89.87
5123,92.79
5125,91.36
5127,91.2
5129,87.93
5131,93.94
5133,93.43
5135,89.13
5137,88.41
5139,90.3
5141,88.5
5143,89.28
5145,91.56
5147,93.24
5149,91.94
6001,106.36
6003,85.78
6005,107.11
6007,111.04
6009,108.63
6011,114.24
6013,113.14
6015,87.96
6017,99.46
6019,103.96
6021,112.19
6023,93.83
6025,110.82
6027,102.51
6029,108.79
6031,117.39
6033,107.24
6035,94.87
6037,97.2
6039,105.69
6041,90.79
6043,102.61
6045,100.27
6047,117.48
6049,95.22
6051,85.84
6053,100.65
6055,112.84
6057,99.73
6059,99.79
6061,100.83
6063,95.13
6065,105.58
6067,118.17
6069,107.94
6071,106.61
6073,96.06
6075,75.88
6077,118.36
6079,101.43
6081,90.36
6083,90.16
6085,109.36
6087,94.51
6089,104.09
6091,93.6
6093,95.92
6095,116.91
6097,103.41
6099,116.64
6101,118.22
6103,107.8
6105,99.16
6107,100.33
6109,93.65
6111,92.95
6113,116.44
6115,113.68
8001,99.46
8003,85.23
8005,98.06
8007,80.92
8009,96.87
8011,99.37
8013,88.36
8014,99.79
8015,75.88
8017,98.26
8019,73.98
8021,78.28
8023,79.65
8025,98.82
8027,79.05
8029,89.8
8031,98.89
8033,82.18
8035,91.36
8037,79.79
8039,94.5
8041,91.58
8043,86.92
8045,85.68
8047,79.93
8049,79.21
8051,77.36
8053,68.88
8055,86.22
8057,80.55
8059,89.83
8061,98.8
8063,99.34
8065,70.65
8067,81.77
8069,86.95
8071,91.71
8073,96.4
8075,101.19
8077,91.09
8079,70.66
8081,90.52
8083,87.91
8085,90.57
8087,100.67
8089,99.46
8091,79.47
8093,77.18
8095,102.34
8097,75.24
8099,99.52
8101,96.76
8103,88.86
8105,78.31
8107,83.86
8109,78.37
8111,66.61
8113,85.01
8115,102.97
8117,72.9
8119,79.59
8121,99.61
8123,99.36
8125,102.04
9001,83.03
9003,83.48
9005,79.93
9007,81.57
9009,81.16
9011,82.31
9013,82.31
9015,83.28
10001,86.31
10003,88.79
10005,84.83
11001,91.67
12001,93.11
12003,92.89
12005,88.05
12007,93.2
12009,92.03
12011,95.56
12013,88.9
12015,93.92
12017,89.53
12019,93.25
12021,94.24
12023,93.0
12027,95.59
12029,89.37
12031,92.66
12033,88.16
12035,89.71
12037,87.67
12039,91.09
12041,93.51
12043,95.5
12045,88.41
12047,92.55
12049,95.68
12051,95.68
12053,89.87
12055,95.63
12057,92.17
12059,90.54
12061,93.58
12063,91.15
